date,ticker,price
7/16/14,dis,82.657344
7/17/14,dis,82.34744
7/18/14,dis,83.102831
7/21/14,dis,83.03504
7/22/14,dis,83.490213
7/23/14,dis,83.325578
7/24/14,dis,84.061603
7/25/14,dis,83.509586
7/28/14,dis,84.40056
7/29/14,dis,83.480527
7/30/14,dis,84.458665
7/31/14,dis,83.170622
08/01/2014,dis,82.686397
08/04/2014,dis,84.487717
08/05/2014,dis,84.013178
08/06/2014,dis,83.858222
08/07/2014,dis,82.8123
08/08/2014,dis,84.110022
08/11/2014,dis,84.739517
08/12/2014,dis,84.458665
8/13/14,dis,84.83636
8/14/14,dis,85.814499
8/15/14,dis,86.463359
8/18/14,dis,87.131593
8/19/14,dis,87.247803
8/20/14,dis,87.00569
8/21/14,dis,87.528655
8/22/14,dis,87.635185
8/25/14,dis,87.528655
8/26/14,dis,87.180012
8/27/14,dis,87.518975
8/28/14,dis,87.383393
8/29/14,dis,87.044429
09/02/2014,dis,87.93541
09/03/2014,dis,88.070993
09/04/2014,dis,87.296228
09/05/2014,dis,88.070993
09/08/2014,dis,87.702976
09/09/2014,dis,86.773264
09/10/2014,dis,86.695786
09/11/2014,dis,87.131593
09/12/2014,dis,86.841055
9/15/14,dis,87.238124
9/16/14,dis,87.422124
9/17/14,dis,87.480237
9/18/14,dis,87.489916
9/19/14,dis,87.635185
9/22/14,dis,86.473046
9/23/14,dis,85.52396
9/24/14,dis,86.627994
9/25/14,dis,85.291534
9/26/14,dis,85.940395
9/29/14,dis,86.027559
9/30/14,dis,86.221246
10/01/2014,dis,84.72983
10/02/2014,dis,84.051917
10/03/2014,dis,85.659543
10/06/2014,dis,85.766073
10/07/2014,dis,84.361821
10/08/2014,dis,85.330273
10/09/2014,dis,83.005987
10/10/2014,dis,83.548318
10/13/14,dis,81.262779
10/14/14,dis,81.485519
10/15/14,dis,79.490511
10/16/14,dis,79.161233
10/17/14,dis,81.185301
10/20/14,dis,82.821979
10/21/14,dis,84.778256
10/22/14,dis,84.352135
10/23/14,dis,85.214056
10/24/14,dis,85.814499
10/27/14,dis,85.659543
10/28/14,dis,87.092854
10/29/14,dis,86.705472
10/30/14,dis,87.373706
10/31/14,dis,88.497106
11/03/2014,dis,88.816697
11/04/2014,dis,87.499602
11/05/2014,dis,88.129097
11/06/2014,dis,89.097549
11/07/2014,dis,87.160646
11/10/2014,dis,86.947585
11/11/2014,dis,87.14128
11/12/2014,dis,87.063802
11/13/14,dis,87.635185
11/14/14,dis,87.93541
11/17/14,dis,87.557714
11/18/14,dis,87.431811
11/19/14,dis,86.986324
11/20/14,dis,86.09535
11/21/14,dis,86.153455
11/24/14,dis,87.722349
11/25/14,dis,88.758592
11/26/14,dis,89.020071
11/28/14,dis,89.591461
12/01/2014,dis,89.775462
12/02/2014,dis,90.521174
12/03/2014,dis,90.172531
12/04/2014,dis,90.288748
12/05/2014,dis,90.802026
12/08/2014,dis,90.840765
12/09/2014,dis,90.007896
12/10/2014,dis,88.739219
12/11/2014,dis,89.984788
12/12/2014,dis,89.729788
12/15/14,dis,89.151143
12/16/14,dis,88.435185
12/17/14,dis,89.621904
12/18/14,dis,90.828243
12/19/14,dis,91.102855
12/22/14,dis,92.387649
12/23/14,dis,92.868227
12/24/14,dis,92.603417
12/26/14,dis,93.201682
12/29/14,dis,93.662641
12/30/14,dis,92.878029
12/31/14,dis,92.377847
01/02/2015,dis,91.946309
01/05/2015,dis,90.602665
01/06/2015,dis,90.122094
01/07/2015,dis,91.044011
01/08/2015,dis,91.985541
01/09/2015,dis,92.43669
01/12/2015,dis,92.642649
1/13/15,dis,93.358607
1/14/15,dis,92.417078
1/15/15,dis,92.534764
1/16/15,dis,93.348797
1/20/15,dis,92.91726
1/21/15,dis,92.358227
1/22/15,dis,93.319376
1/23/15,dis,92.897648
1/26/15,dis,93.142839
1/27/15,dis,92.162078
1/28/15,dis,90.887086
1/29/15,dis,91.426507
1/30/15,dis,89.209986
02/02/2015,dis,90.161325
02/03/2015,dis,92.289574
02/04/2015,dis,99.331436
02/05/2015,dis,100.665271
02/06/2015,dis,100.057197
02/09/2015,dis,99.772783
02/10/2015,dis,99.959122
02/11/2015,dis,99.910088
02/12/2015,dis,101.587188
2/13/15,dis,102.165833
2/17/15,dis,102.1168
2/18/15,dis,101.8618
2/19/15,dis,101.891222
2/20/15,dis,102.538527
2/23/15,dis,102.970057
2/24/15,dis,102.656214
2/25/15,dis,103.5389
2/26/15,dis,102.548329
2/27/15,dis,102.077569
03/02/2015,dis,103.852743
03/03/2015,dis,104.303892
03/04/2015,dis,103.5389
03/05/2015,dis,103.009288
03/06/2015,dis,101.822569
03/09/2015,dis,103.234866
03/10/2015,dis,101.10661
03/11/2015,dis,100.910461
03/12/2015,dis,105.108115
3/13/15,dis,104.392164
3/16/15,dis,105.304272
3/17/15,dis,104.902157
3/18/15,dis,105.892727
3/19/15,dis,105.304272
3/20/15,dis,106.343876
3/23/15,dis,106.137917
3/24/15,dis,105.049272
3/25/15,dis,102.979867
3/26/15,dis,103.215247
3/27/15,dis,103.450635
3/30/15,dis,104.078321
3/31/15,dis,102.871982
04/01/2015,dis,103.411404
04/02/2015,dis,103.960627
04/06/2015,dis,103.597743
04/07/2015,dis,103.401594
04/08/2015,dis,104.313702
04/09/2015,dis,104.71581
04/10/2015,dis,104.892347
4/13/15,dis,104.460817
4/14/15,dis,104.607933
4/15/15,dis,104.921776
4/16/15,dis,106.020223
4/17/15,dis,104.637354
4/20/15,dis,106.137917
4/21/15,dis,105.608305
4/22/15,dis,105.863305
4/23/15,dis,106.902909
4/24/15,dis,107.422711
4/27/15,dis,108.040595
4/28/15,dis,107.805207
4/29/15,dis,107.697323
4/30/15,dis,106.628297
05/01/2015,dis,108.393662
05/04/2015,dis,108.893852
05/05/2015,dis,108.678083
05/06/2015,dis,107.609058
05/07/2015,dis,107.157909
05/08/2015,dis,107.991554
05/11/2015,dis,106.510603
05/12/2015,dis,107.13829
5/13/15,dis,107.089256
5/14/15,dis,107.815017
5/15/15,dis,108.177901
5/18/15,dis,108.207323
5/19/15,dis,108.432893
5/20/15,dis,108.079819
5/21/15,dis,108.266166
5/22/15,dis,108.13867
5/26/15,dis,107.334446
5/27/15,dis,108.246554
5/28/15,dis,108.403472
5/29/15,dis,108.246554
06/01/2015,dis,108.825199
06/02/2015,dis,108.61924
06/03/2015,dis,109.031158
06/04/2015,dis,108.177901
06/05/2015,dis,108.177901
06/08/2015,dis,107.187331
06/09/2015,dis,106.432141
06/10/2015,dis,107.88367
06/11/2015,dis,108.491744
06/12/2015,dis,107.834629
6/15/15,dis,108.060207
6/16/15,dis,108.923274
6/17/15,dis,109.345001
6/18/15,dis,111.04172
6/19/15,dis,110.453265
6/22/15,dis,111.345754
6/23/15,dis,112.208828
6/24/15,dis,111.581134
6/25/15,dis,112.248052
6/26/15,dis,112.777663
